novelName,authorName,novelContent
《幸福炒饭店[古穿今]》,苏香兰色,http://www.jjwxc.net/onebook.php?novelid=4127465
《大佬们都是我爹》,酩酊大罪,http://www.jjwxc.net/onebook.php?novelid=4467704
《偏执纯情》,沫之茜茜,http://www.jjwxc.net/onebook.php?novelid=4015357
《仙凡娱乐公司》,信用卡,http://www.jjwxc.net/onebook.php?novelid=3442998
《全能女神培养系统》,存宁,http://www.jjwxc.net/onebook.php?novelid=4663712
《谁敢说我是女配！[穿书]》,猫猫咬尾巴,http://www.jjwxc.net/onebook.php?novelid=4633481
《万万不可》,明月珰,http://www.jjwxc.net/onebook.php?novelid=4555376
《废太子的失业生活》,苏格拉提拉米苏,http://www.jjwxc.net/onebook.php?novelid=4469253
《奉旨吃糖》,骈屿,http://www.jjwxc.net/onebook.php?novelid=4196171
《吾夫甚美》,雨师螺,http://www.jjwxc.net/onebook.php?novelid=4606872
《[清]再不努力就要被迫继承皇位了》,大团团,http://www.jjwxc.net/onebook.php?novelid=4306711
《红楼之黛玉后妈不好当》,巫朝尘,http://www.jjwxc.net/onebook.php?novelid=4700957
《我在娱乐圈爽文里当咸鱼》,大哥喝冰阔,http://www.jjwxc.net/onebook.php?novelid=4163880
《豪门父母和顶流哥哥终于找到了我》,西淅,http://www.jjwxc.net/onebook.php?novelid=4560624
《人参精穿成年代文中小闺女》,浣若君,http://www.jjwxc.net/onebook.php?novelid=4462135
《敛财人生之新征程》,林木儿,http://www.jjwxc.net/onebook.php?novelid=4122558
《难哄》,竹已,http://www.jjwxc.net/onebook.php?novelid=4001734
《凶案现场直播》,退戈,http://www.jjwxc.net/onebook.php?novelid=4658774
《天才女友》,素光同,http://www.jjwxc.net/onebook.php?novelid=4435966
《奇怪的先生们》,扶华,http://www.jjwxc.net/onebook.php?novelid=4737660
《真千金是柠檬精》,大白牙牙牙,http://www.jjwxc.net/onebook.php?novelid=4246591
《末日第一公会》,轻云淡,http://www.jjwxc.net/onebook.php?novelid=3945007
《不学习就要继承亿万家产》,暮寒公子,http://www.jjwxc.net/onebook.php?novelid=4160398
《满级绿茶穿成小可怜》,春刀寒,http://www.jjwxc.net/onebook.php?novelid=4403740
